box #,latfloor,latceiling,depthceiling,depthfloor,dCo_mean_obs,O2_mean_obs,PO4_mean_obs,dCo_mean_model,O2_mean_model,PO4_mean_model
108,-18,-17,150,175,3.782730267,179.6,0.74,4.40232280890147,212.555895487467,0.222431200246016
109,-18,-17,175,200,,,,6.64225121339162,207.82043711344397,0.27339823792378104
110,-18,-17,200,250,,,,9.27983419100443,204.20643997192403,0.3370505323012669
111,-18,-17,250,300,10.00717207,178.5,0.46,13.983613491058302,199.12625503540002,0.502290355662505
112,-18,-17,300,500,34.306045935,163.8,1.085,24.692515691121397,188.400104522705,1.01212477187316
113,-18,-17,500,700,43.75908436,158.35,1.955,33.6714191436768,179.672799428304,1.6411186556021398
114,-18,-17,700,1000,44.81801356,147.3,2.27,38.386050224304206,156.910771687826,2.1519387563069703
115,-18,-17,1000,1250,40.36024805,141.0,2.4,40.8760423660278,136.537532806396,2.50905348857244
116,-18,-17,1250,1500,,,,41.727532068888294,132.204214731852,2.6562353173891697
117,-18,-17,1500,2000,,,,41.899718920389795,140.123418172201,2.67061372598012
118,-18,-17,2000,2500,,,,42.076837221781396,156.274388631185,2.6337780157725
119,-18,-17,2500,3000,,,,42.713749567667605,177.52227274576802,2.55982400973638
120,-18,-17,3000,3500,,,,44.088358879089405,197.750822703044,2.48465297619502
121,-18,-17,3500,4000,,,,45.8084583282471,211.74030939738,2.43888107935588
122,-18,-17,4000,4500,,,,,,
123,-18,-17,4500,5000,,,,,,
124,-18,-17,5000,5500,,,,,,
125,-17,-16,0,10,,,,3.86644051472346,201.447792053223,0.13921718423565196
126,-17,-16,10,20,,,,3.86644037564596,201.44779332478802,0.139217185477416
127,-17,-16,20,30,,,,3.8679317235946695,201.577150980632,0.13922332103053697
128,-17,-16,30,40,,,,3.8624481956163996,202.57495244344102,0.139266031483809
129,-17,-16,40,50,,,,3.7670865456263196,204.3494237264,0.14027597506841
130,-17,-16,50,60,,,,3.57316476106644,205.756312052409,0.142078121503194
131,-17,-16,60,70,,,,3.2981111804644305,206.83506393432597,0.144159639875094
132,-17,-16,70,80,,,,3.12419621149699,207.94953536987302,0.14625400056441598
133,-17,-16,80,90,,,,2.96040972073873,209.36801528930698,0.148791463424762
134,-17,-16,90,100,,,,2.7938644886016806,211.35161844889302,0.15210807695984804
135,-17,-16,100,110,,,,2.7184426387151097,213.514542897542,0.154975617925326
136,-17,-16,110,120,,,,2.73836928606033,215.57773208618198,0.157279189676046
137,-17,-16,120,135,,,,2.87063113848368,217.011219024658,0.16229935487111402
138,-17,-16,135,150,,,,3.2632086078325897,216.38223139445,0.181827629605929
139,-17,-16,150,175,,,,4.40232280890147,212.555895487467,0.222431200246016
140,-17,-16,175,200,,,,6.64225121339162,207.82043711344397,0.27339823792378104
141,-17,-16,200,250,,,,9.27983419100443,204.20643997192403,0.3370505323012669
142,-17,-16,250,300,,,,13.983613491058302,199.12625503540002,0.502290355662505
143,-17,-16,300,500,,,,24.692515691121397,188.400104522705,1.01212477187316
144,-17,-16,500,700,,,,33.6714191436768,179.672799428304,1.6411186556021398
145,-17,-16,700,1000,,,,38.386050224304206,156.910771687826,2.1519387563069703
146,-17,-16,1000,1250,,,,40.8760423660278,136.537532806396,2.50905348857244
147,-17,-16,1250,1500,,,,41.727532068888294,132.204214731852,2.6562353173891697
148,-17,-16,1500,2000,,,,41.899718920389795,140.123418172201,2.67061372598012
