,Cruise,Station,Latitude,Longitude,Sample #,Date Sampled,DEPTH [m],dCo [pM],LdCo [pM],CTDPRS [dbar],CTDTMP,CTDOXY [umol/kg],CTDFLUOR,Salinity,Silicate [umol/kg],Phosphate [umol/kg],Nitrate [umol/kg],Nitrite [umol/kg],CTDXMISS,CTDSAL,Density,CTDOXY [uM],Silicate [uM],Phosphate [uM],Nitrate [uM],Nitrite [uM]
659,GP15,37,-14.99997,-152.00007,15535,43422,150,0.826312742,0,147.8,24.6015,180.4,0.01,36.366,0.1,0.24,0.84,0.38,4.683,36.366,1.025133426,184.9340701,0.102513343,0.246032022,0.861112078,0.389550702
660,GP15,37,-14.99997,-152.00007,15533,43422,180,13.70000552,0,178.8,22.8953,176.5,0.004,36.159,0.1,0.3,2.43,0.03,4.697,36.159,1.02561871,181.0217022,0.102561871,0.307685613,2.492253464,0.030768561
661,GP15,37,-14.99997,-152.00007,15531,43422,200,11.72084178,0,198.2,21.861,175.4,0.002,36.0058,0.1,0.32,2.89,0.02,4.703,36.0058,1.025883366,179.9399424,0.102588337,0.328282677,2.964802927,0.020517667
662,GP15,37,-14.99997,-152.00007,15529,43422,250,12.75321284,0,249.8,18.9935,174.8,0.001,35.6153,0.68,0.54,5.99,0,4.711,35.6153,1.026588278,179.447631,0.698080029,0.55435767,6.149263784,0
663,GP15,37,-14.99997,-152.00007,15527,43422,300,33.16847155,,299.6,16.4263,166.6,0.001,35.2443,2.05,0.72,8.97,0,4.713,35.2443,1.027160354,171.124915,2.105678726,0.739555455,9.213628375,0
664,GP15,37,-14.99997,-152.00007,15525,43422,350,53.91751631,0,349.2,13.2426,136.3,0.001,34.8496,6.26,1.26,15.71,0,4.714,34.8496,1.027786123,140.0872485,6.433941129,1.295010515,16.14651999,0
665,GP15,37,-14.99997,-152.00007,15523,43422,400,34.69152896,,400.8,11.2487,114.7,0.001,34.6788,11.74,1.71,21.66,0,4.715,34.6788,1.0282816,117.9438995,12.07202599,1.758361536,22.27257946,0
666,GP15,37,-14.99997,-152.00007,15520,43422,450,41.77537845,0,451,9.6031,111.1,0.001,34.5847,17.8,1.99,26.71,0,4.715,34.5847,1.028733965,114.2923435,18.31146458,2.047180591,27.47748421,0
667,GP15,37,-14.99997,-152.00007,15639,43423,450,43.0874005,,452.2,9.1584,114.3,0.001,34.5632,18.18,1.94,27.01,0,4.716,34.5632,1.028799319,117.5917622,18.70357162,1.995870679,27.78786961,0
668,GP15,37,-14.99997,-152.00007,15635,43423,575,18.97474892,,577.4,7.1286,134.5,0.001,34.4881,26.78,2.11,30.36,0,4.717,34.4881,1.029633861,138.4857543,27.57359479,2.172527446,31.25968401,0
669,GP15,37,-14.99997,-152.00007,15631,43423,725,39.26564365,11.00950784,728.7,5.4832,144,0.001,34.4649,42.22,2.28,33.12,0,4.719,34.4649,1.0305422,148.3980767,43.50949167,2.349636215,34.13155765,0
670,GP15,37,-14.99997,-152.00007,15627,43423,900,42.96541657,,906.2,4.543,138.2,0.001,34.4896,59.33,2.41,34.83,0,4.719,34.4896,1.031498168,142.5530469,61.19878633,2.485910586,35.92708121,0
671,GP15,37,-14.99997,-152.00007,15623,43423,1200,36.30727118,0,1208.3,3.522,131,0.001,34.5454,83.27,2.53,36.57,0,4.72,34.5454,1.033052591,135.3298894,86.02228925,2.613623055,37.77873325,0
672,GP15,37,-14.99997,-152.00007,15619,43423,1600,31.94362413,,1613.5,2.7044,139,0.001,34.5943,101.74,2.52,36.4,0,4.723,34.5943,1.0350386,143.8703655,105.3048272,2.608297273,37.67540505,0
673,GP15,37,-14.99997,-152.00007,15579,43423,2100,23.14112665,0,2119.8,2.089,148.2,0.001,34.6413,117.4,2.42,35.24,0,4.721,34.6413,1.037444669,153.7493,121.7960042,2.5106161,36.55955014,0
674,GP15,37,-14.99997,-152.00007,15575,43423,2600,22.15409701,,2629.5,1.8549,151.6,0.001,34.6634,124.63,2.41,34.88,0,4.722,34.6634,1.039777762,157.6303087,129.5875025,2.505864406,36.26744833,0
675,GP15,37,-14.99997,-152.00007,15571,43423,3000,17.90021694,0,3037.1,1.693,161.1,0.001,34.6745,125.51,2.37,34.41,0,4.723,34.6745,1.041619977,167.8049782,130.7337233,2.468639344,35.84214339,0
676,GP15,37,-14.99997,-152.00007,15567,43423,3700,24.14230803,,3752.9,1.4826,176.3,0.001,34.6903,123.36,2.39,33.35,0,4.724,34.6903,1.04480831,184.1997051,128.8875531,2.497091861,34.84435714,0
677,GP15,37,-14.99997,-152.00007,15563,43423,4620,23.14495745,,4696.6,1.3357,190.8,0.001,34.7012,121.01,2.32,32.74,0,4.725,34.7012,1.0489166,200.1332873,126.9293978,2.433486512,34.34152948,0
678,GP15,37,-14.99997,-152.00007,15559,43423,4740,20.94209001,0,4819.2,1.3407,190.8,0.001,34.7013,120.72,2.31,32.88,0,4.726,34.7013,1.049439181,200.2329957,126.6882979,2.424204508,34.50556027,0
679,GP15,38,-17.50019,-152.0006,15657,43424,2,0,,2,28.3106,194.7803,0.0012,,,,,,4.6751,36.1782,1.023187606,199.2967888,,,,
680,GP15,38,-17.50019,-152.0006,15694,43425,25,4.636690783,,21.8,28.032,195.6,0.001,36.2186,0.1,0.09,0.03,0,4.672,36.2186,1.023394656,200.1759948,0.102339466,0.092105519,0.03070184,0
681,GP15,38,-17.50019,-152.0006,15692,43425,55,0,,53.8,27.9669,196,0.001,36.3253,0,0.08,0,0,4.672,36.3253,1.023633183,200.6321038,0,0.081890655,0,0
682,GP15,38,-17.50019,-152.0006,15690,43425,90,0,,86.9,26.5985,202.8,0.003,36.1561,0.1,0.09,0.02,0,4.673,36.1561,1.024090977,207.6856501,0.102409098,0.092168188,0.02048182,0
683,GP15,38,-17.50019,-152.0006,15688,43425,125,0,,125.2,25.4541,189.4,0.01,36.278,0.1,0.23,1.24,0.1,4.669,36.278,1.024707541,194.0796083,0.102470754,0.235682734,1.270637351,0.102470754
684,GP15,38,-17.50019,-152.0006,15686,43425,150,3.782730267,,149.1,23.4621,179.6,0.005,36.093,0.39,0.74,4.36,0.01,4.687,36.093,1.025274398,184.1392818,0.399857015,0.758703054,4.470196374,0.010252744
