,Cruise,Station,Latitude,Longitude,Sample #,Date Sampled,DEPTH [m],Stn-depth,dCo [pM],LdCo [pM],dZn [nmol/kg],CTDPRS [dbar],CTDTMP,CTDOXY [umol/kg],CTDFLUOR,CTDXMISS,CTDSAL,Salinity,Silicate [umol/kg],Phosphate [umol/kg],Nitrate [umol/kg],Nitrite [umol/kg],Density,dZn [nM],Silicate [uM],Phosphate [uM],Nitrate [uM],Nitrite [uM],Sigma0 [kg/m3]
560,GP15,31.0,-2.50037,-151.99993999999998,15086,43415,700,31-700,61.67637424,18.42546721,,702.5,6.1092,65.4,0.001,4.71,34.5543,34.5499,56.23,2.73,39.09,0.0,1.0304067097605711,,57.93976928983691,2.8130103176463592,40.27859828454073,0.0,27.20017060631153
561,GP15,31.0,-2.50037,-151.99993999999998,15082,43415,900,31-900,54.229670999999996,,,904.7,5.0873,78.6,0.001,4.711,34.5467,34.5479,71.85,2.75,38.85,0.0,1.0314646948801565,,74.11073832713923,2.8365279109204304,40.07240339609408,0.0,27.32114166334918
562,GP15,31.0,-2.50037,-151.99993999999998,15078,43415,1200,31-1200,45.27147623,12.45810834,,1208.4,3.8034,88.5,0.001,4.711,34.5746,34.5756,98.69,2.76,39.09,0.0,1.0330414535345538,,101.95086104932511,2.851194411755368,40.38159041866571,0.0,27.48542835136368
563,GP15,31.0,-2.50037,-151.99993999999998,15074,43415,1600,31-1600,34.6008079,,,1613.3,2.7139,104.5,0.001,4.7139999999999995,34.6173,34.6164,123.58,2.75,38.67,0.0,1.0350568775918374,,127.91232893279927,2.8464064133775526,40.02564945647635,0.0,27.62547238061029
564,GP15,31.0,-2.50037,-151.99993999999998,15034,43415,2000,31-2000,28.65318698,0.0,,2019.3,2.2587,109.0,0.001,4.712,34.6448,34.641999999999996,137.34,2.67,38.32,0.0,1.0369744798859732,,142.41807506753958,2.7687218612955484,39.7368620692305,0.0,27.6891946801818
565,GP15,31.0,-2.50037,-151.99993999999998,15030,43415,2500,31-2500,21.46045372,,,2526.5,1.8803,129.8,0.001,4.7139999999999995,34.6636,34.6599,139.49,2.58,37.06,0.0,1.0393171329955115,,144.9743468815439,2.68143820312842,38.51709294881366,0.0,27.73739601110765
566,GP15,31.0,-2.50037,-151.99993999999998,15026,43415,3000,31-3000,20.36308846,0.0,,3037.8,1.6742,138.4,0.001,4.7139999999999995,34.6757,34.6742,142.03,2.52,36.4,0.0,1.0416292209879323,,147.94259825691603,2.6249056368895896,37.91530364396073,0.0,27.765725577376088
567,GP15,31.0,-2.50037,-151.99993999999998,15022,43415,3800,31-3800,19.3104597,,,3854.1,1.4279,159.5,0.001,4.718,34.6932,34.6902,139.39,2.39,34.96,0.0,1.0452627910100922,,145.69918043889675,2.4981780705141206,36.542387173712825,0.0,27.802314262047958
568,GP15,31.0,-2.50037,-151.99993999999998,15018,43415,4470,31-4470,27.37952686,,,4540.1,1.3564,177.8,0.001,4.718999999999999,34.6997,34.6971,131.08,2.33,33.74,0.0,1.0482431002072743,,137.40370557516954,2.4424064234829492,35.367722200993434,0.0,27.816557931494344
569,GP15,31.0,-2.50037,-151.99993999999998,15014,43415,4590,31-4590,37.416976700000006,3.744213883,,4663.8,1.3566,177.9,0.001,4.718999999999999,34.7002,34.6351,127.27,2.65,37.65,0.0,1.0487731507651608,,133.477358897882,2.7792488495276757,39.4863091263083,0.0,27.81774801809911
570,GP15,33.0,-5.000430000000001,-152.00025,15108,43417,2,33-2,1.83362489,0.0,0.111345915,2.0,28.0411,199.6,0.004,4.646,35.5299,35.5265,1.37,0.37,4.15,0.1,1.0227890959160237,0.11388338773679244,1.4012210614049527,0.37843196548892877,4.244574748051499,0.10227890959160238,22.780381075924538
571,GP15,33.0,-5.000430000000001,-152.00025,15154,43417,25,33-25,5.268236118,0.0,0.280171291,23.1,27.8771,202.1,0.006999999999999999,4.638,35.5214,35.5099,1.46,0.39,4.44,0.1,1.0229268423132276,0.2865947340094504,1.4934731897773124,0.3989414685021588,4.541795179870731,0.10229268423132276,22.829338754090827
572,GP15,33.0,-5.000430000000001,-152.00025,15152,43417,65,33-65,13.70289948,0.0,0.08453739699999999,64.4,27.6149,203.4,0.013999999999999999,4.628,35.4775,35.4653,1.56,0.42,4.71,0.1,1.0231563132686334,0.08649497144784682,1.5961238486990683,0.42972565157282605,4.819066235495264,0.10231563132686335,22.884924231649734
573,GP15,33.0,-5.000430000000001,-152.00025,15150,43417,80,33-80,34.51607478,0.0,0.116427664,78.4,27.0845,201.3,0.021,4.6339999999999995,35.4141,35.3194,1.56,0.48,4.94,0.15,1.0233402689407043,0.11914511698989795,1.5964108195474986,0.491203329091538,5.05530092856708,0.15350104034110565,23.009429494372398
574,GP15,33.0,-5.000430000000001,-152.00025,15148,43417,100,33-100,31.30626313,0.0,0.158790596,99.3,26.6113,195.6,0.018000000000000002,4.657,35.3511,35.3519,1.56,0.48,4.88,0.19,1.0235338508337763,0.16252755020007045,1.596712807300691,0.49129624840021263,4.994845192068828,0.19447143165841752,23.114353819003668
575,GP15,33.0,-5.000430000000001,-152.00025,15146,43417,125,33-125,36.22076614,,0.130611864,123.6,26.5803,191.1,0.011000000000000001,4.676,35.3863,35.3792,1.46,0.5,4.8,0.22,1.0236744411750025,0.13370402689102542,1.4945646841155036,0.5118372205875013,4.913637317640012,0.22520837705850055,23.15249330026677
576,GP15,33.0,-5.000430000000001,-152.00025,15144,43417,150,33-150,41.18748532,0.0,0.127079585,148.5,24.6492,164.4,0.005,4.692,35.9996,35.988,1.37,0.58,4.99,1.28,1.0248453382206213,0.13023692027026118,1.4040381133622513,0.5944102961679603,5.1139782377209,1.3118020329223954,24.21521596668208
577,GP15,33.0,-5.000430000000001,-152.00025,15142,43417,175,33-175,91.44303869,28.56786139,0.204184124,173.1,17.0143,96.8,0.002,4.7,35.3651,35.4689,8.59,1.37,18.38,0.02,1.0265572435225292,0.20960669150450228,8.818126721858526,1.4063834236258652,18.868122135944084,0.020531144870450584,25.80222251545797
578,GP15,33.0,-5.000430000000001,-152.00025,15140,43417,200,33-200,149.31109630000003,59.51977382,0.437997275,198.8,14.7733,58.9,0.002,4.703,35.1042,34.9697,14.65,1.81,26.04,0.01,1.0269878232252132,0.44981786803082513,15.045371610249374,1.858847960037636,26.74276291678455,0.010269878232252132,26.11284337263146
579,GP15,33.0,-5.000430000000001,-152.00025,15138,43417,250,33-250,120.68783490000001,45.33610359,,248.7,12.8922,17.1,0.001,4.706,34.9289,34.9179,20.61,2.07,29.95,0.0,1.0274737434868406,,21.176233853263785,2.12687064901776,30.772838617430875,0.0,26.370702414082643
580,GP15,33.0,-5.000430000000001,-152.00025,15136,43417,300,33-300,83.59018271,17.39894531,0.651617529,300.7,11.8754,59.0,0.001,4.707,34.8628,34.8654,20.13,1.9,26.85,0.0,1.0278573352883194,0.6697698569850992,20.69076815935387,1.9529289370478067,27.597969452491377,0.0,26.518252925594197
581,GP15,33.0,-5.000430000000001,-152.00025,15134,43417,350,33-350,74.12313031,,1.389249828,350.2,10.9354,84.9,0.001,4.707,34.797,34.7907,22.28,2.0,28.16,0.0,1.0282070483540404,1.4284364650742385,22.908453037328023,2.056414096708081,28.954310481649777,0.0,26.641469429740255
582,GP15,33.0,-5.000430000000001,-152.00025,15132,43417,400,33-400,99.7804307,34.59170449,,400.5,10.0365,16.9,0.001,4.705,34.7458,34.7525,31.66,2.52,34.95,0.0,1.0285570423806287,,32.5641159617707,2.5919637467991845,35.94806863120298,0.0,26.759806352004944
583,GP15,33.0,-5.000430000000001,-152.00025,15240,43417,400,33-400b,95.48294542,,1.041610916,400.9,10.1439,17.5,0.001,4.704,34.7521,34.7249,31.56,2.45,34.54,0.0,1.0285445217501599,1.071343201446966,32.460865106435044,2.519934078287892,35.52592778125052,0.0,26.746438585000988
584,GP15,33.0,-5.000430000000001,-152.00025,15236,43417,500,33-500,67.4925372,13.83937615,1.68532567,501.2,8.1073,59.5,0.001,4.71,34.6247,34.6157,34.98,2.43,35.47,0.0,1.0292439277101624,1.734611212061561,36.00295259130148,2.5010627443356945,36.507282115879455,0.0,26.97532419360573
585,GP15,33.0,-5.000430000000001,-152.00025,15232,43417,700,33-700,68.57692456,,3.126801385,704.2,6.226,68.3,0.001,4.712,34.5539,34.5515,53.36,2.69,38.55,0.0,1.0303968917278734,3.2218464281544095,54.981978142599324,2.7717676387479795,39.72180017610952,0.0,27.184653293969404
